RecordNumber,Zipcode,ZipCodeType,City,State,Lat,Long
25941,43207,STANDARD,OBETZ,OH,39.98,-82.98
25942,43209,STANDARD,COLUMBUS,OH,39.98,-82.98
25943,43209,STANDARD,BEXLEY,OH,39.98,-82.98
25944,43210,STANDARD,COLUMBUS,OH,39.98,-82.98
25945,43211,STANDARD,COLUMBUS,OH,39.98,-82.98
25946,43212,STANDARD,COLUMBUS,OH,39.98,-82.98
25947,43212,STANDARD,GRANDVIEW,OH,39.98,-82.98
25948,43212,STANDARD,GRANDVIEW HEIGHTS,OH,39.98,-82.98
25949,43212,STANDARD,MARBLE CLIFF,OH,39.98,-82.98
25950,43212,STANDARD,UPPER ARLINGTON,OH,39.98,-82.98
25951,43212,STANDARD,UPPER ARLNGTN,OH,39.98,-82.98
25952,43213,STANDARD,COLUMBUS,OH,39.98,-82.98
25953,43213,STANDARD,WHITEHALL,OH,39.98,-82.98
25954,43214,STANDARD,COLUMBUS,OH,39.98,-82.98
25955,43215,STANDARD,COLUMBUS,OH,39.98,-82.98
25956,43216,PO BOX,COLUMBUS,OH,39.98,-82.98
25957,43217,STANDARD,COLUMBUS,OH,39.98,-82.98
